gene_name,gene_id,tax_id
cell wall / vacuolar inhibitor of fructosidase 1,841214,3702
poly(A) binding protein 8,841399,3702
origin recognition complex subunit 4,814641,3702
telomere repeat binding factor 1,841418,3702
sugar transporter 9,841453,3702
thioredoxin X,841454,3702
cleavage and polyadenylation specificity factor 73 kDa subunit-II,814702,3702
scarecrow-like 3,841464,3702
purple acid phosphatase 7,814719,3702
10-formyltetrahydrofolate synthetase,841470,3702
purple acid phosphatase 8,814720,3702
basic pentacysteine1,814724,3702
dimeric A/B barrel domainS-protein 1,841560,3702
sucrose-phosphatase 1,841567,3702
phytosulfokin receptor 1,814753,3702
4-coumarate:CoA ligase 1,841593,3702
AtPP2-B9,814766,3702
ubiquitin-specific protease 6,841596,3702
anac034,814775,3702
cyclophilin 59,841810,3702
protein kinase 2B,814810,3702
cation calcium exchanger 4,841851,3702
UDP-galactose transporter 1,814811,3702
RELA/SPOT homolog 3,841853,3702
phytochrome kinase substrate 1,814823,3702
eif4a-2,841868,3702
ribonuclease 1,814828,3702
exoribonuclease 4,841891,3702
purple acid phosphatase 9,814874,3702
SC35-like splicing factor 33,841976,3702
arabinogalactan protein 21,841979,3702
glycine-rich protein 3,815101,3702
branched-chain alpha-keto acid decarboxylase E1 beta subunit,841998,3702
cycloartenol synthase 1,815275,3702
chloride channel F,842011,3702
alanine:glyoxylate aminotransferase,815822,3702
emb1860,842040,3702
somatic embryogenesis receptor-like kinase 4,815862,3702
proline iminopeptidase,815913,3702
pathogenesis-related gene 1,815949,3702
calreticulin 1,842087,3702
arabinogalactan protein 9,815978,3702
mitogen-activated protein kinase homolog 2,842248,3702
AtTic21,816018,3702
translocon at inner membrane of chloroplasts 21,816018,3702
dynamin-like 3,842251,3702
multimeric translocon complex in the outer envelope membrane 132,816165,3702
ATP-binding cassette G36,842281,3702
Arabidopsis thaliana ATP-binding cassette G36,842281,3702
actin depolymerizing factor 5,816171,3702
RNA polymerase I subunit 43,842356,3702
transportin 1,816198,3702
RECQ helicase L4B,842384,3702
lysm domain GPI-anchored protein 2 precursor,816217,3702
iron regulated transporter 3,842387,3702
glutamate receptor 2,816231,3702
homoserine kinase,816232,3702
terpene synthase 14,842465,3702
SET domain group 37,816300,3702
purple acid phosphatase 11,816326,3702
phytochrome B,816394,3702
xyloglucan endotransglucosylase/hydrolase 21,816395,3702
RPS3,24251692,5516
3-ketoacyl-acyl carrier protein synthase III,842561,3702
aspartate aminotransferase 4,842579,3702
cytokinin oxidase 2,816469,3702
cytidine deaminase 1,816476,3702
PmUG01_12076800,39870755,5858
respiratory burst oxidase protein F,842710,3702
profilin 1,816495,3702
cytb,807917,6398
gamma-tocopherol methyltransferase,842805,3702
hexokinase 2,816505,3702
xyloglucan endotransglucosylase/hydrolase 17,842839,3702
CLIP-associated protein,816539,3702
delta(2)-enoyl CoA isomerase 1,842864,3702
CytB,808498,6669
26S proteasome regulatory subunit S2 1A,816580,3702
glutamate decarboxylase 2,842908,3702
glycine-rich protein 2B,816641,3702
calmodulin 4,842959,3702
triosephosphate isomerase,816652,3702
CDK-activating kinase 4,842993,3702
basic pentacysteine 4,816663,3702
pleiotropic drug resistance 11,843013,3702
SUMO-activating enzyme 2,816686,3702
SEC14-like 3,816693,3702
alpha-xylosidase 1,843185,3702
ribonucleotide reductase 1,816715,3702
arabinogalactan protein 19,843203,3702
nudix hydrolase 1,843207,3702
cytB,808518,7213
aspartate aminotransferase,816758,3702
SOB five-like 2,843219,3702
RAB GTPase homolog H1D,816761,3702
ubiquitin-specific protease 4,816763,3702
receptor-like protein kinase 1,843258,3702
CIN,30973,7227
eukaryotic elongation factor 5A-3,843273,3702
arabinogalactan protein 17,816845,3702
EWG,30975,7227
Ewg,30975,7227
NAC-like,843282,3702
activated by AP3/PI,843282,3702
OR1a,30978,7227
Std,252727,7227
poly(A) binding protein 4,816867,3702
Y,30980,7227
AC,30981,7227
myb domain protein 105,843292,3702
Ac,30981,7227
nimB2,260645,7227
methyl esterase 6,816887,3702
alpha-amylase-like 3,843319,3702
methyl esterase 8,816891,3702
Sc,30982,7227
sisb,30982,7227
acetone-cyanohydrin lyase,816892,3702
beta carbonic anhydrase 4,843377,3702
Mthl12,261599,7227
L'sc,30983,7227
L(1)sc,30983,7227
pgant4,261610,7227
l'sc,30983,7227
glutathione peroxidase 1,817046,3702
somatic embryogenesis receptor-like kinase 1,843513,3702
pcl,30984,7227
dunc-115,261629,7227
RPB7,261631,7227
Ase,30985,7227
protein tyrosine phosphatase 1,843516,3702
T1a,30985,7227
as-T8,30985,7227
cg32017,317823,7227
G protein alpha subunit 1,817170,3702
ZYX,317824,7227
thionin 2.1,843558,3702
Zyx102,317824,7227
